Longitude,Latitude,Zip Codes,Sold Month,Days on Market,Original List Price,Listing Price,Sold Price,Taxes,Sold Terms,SqFt - Total (Aprox),List Price/SqFt,Sold Price/SqFt,Basement,Year Built,Aprx. Acres,# Bedrooms,Baths - Total,HOA,Warranty,Seller Concessions,New Construction Y/N,Overall Crime Grade,Violent Crime,Property Crime,Other Crime,Elementary School,ElemRating,Middle School,MiddleRating,High School,HighRating,AirQuality,Walk Score,TrailHikeDistance,WalkingPathDistance,PalygroundDistance,RecCenterDistance,Rest Nearby,NearestGrocery
-85.2758954,35.0034981,37407,September,103,289900,249900,224900,526.14,FHA,2200,113.59,102.23,No,1920,0.17,3,2,Yes,N,Y,N,C-,B-,C-,D+,East Lake Elementary,2,East Lake Academy,3,Howard Academics,2,67,27,5.23583849821793,0.2111724048027,0.2111724048027,0.408826270473459,Level 5 (20 and above),5.90302632625467
-85.2149968,35.0913427,37416,July,0,322000,322000,322000,1722,FHA,2150,149.77,149.77,No,1960,0,3,2,No,N,Y,N,C-,B-,C-,D+,Harrison Elementary,2,Brown Middle,4,Central High School,4,67,8,2.64743521973858,0.87838560958026,1.47416442989021,1.47416442989021,Level 4 (16-19),7.02149447228187
-85.1711923,35.0942626,37416,Jan,47,399500,399500,435000,392.64,FHA,2080,192.07,209.13,No,2022,0.19,3,3,Yes,Y,N,Y,C-,B-,C-,D+,Lakeside Academy,2,Brown Middle,4,Central High School,4,67,28,3.61448720210051,1.65831807038863,0.661947992534728,0.661947992534728,Level 4 (16-19),7.89141414141414
-85.2586708,35.0232509,37411,Jan,1,250000,250000,250000,1808.38,Conv,1787,139.9,139.9,No,1940,0.5,3,3,No,N,Y,N,C-,B-,C-,D+,East Ridge Elem,3,East Ridge Middle,3,East Ridge High,3,67,29,4.68388477629096,0.654617031151374,0.701705440519337,1.60327733540202,Level 4 (16-19),3.9146385110952
-85.3305984,34.9983241,37409,April,1,430000,430000,435000,2972.84,Conv,1583,271.64,274.79,No,1911,0.15,3,2,No,N,N,N,C-,B-,C-,D+,Donaldson Elementary,3,Lookout Valley Mid,5,Lookout Valley High,5,68,12,5.1090155552052,0.734550419431974,0.267913671848766,0.734550419431974,Level 4 (16-19),10.5633102680347
-85.2123246,35.0758667,37406,May,2,250000,250000,250000,1820.72,Conv,1670,149.7,149.7,No,2002,0.28,3,3,No,N,Y,N,C-,B-,C-,D+,Harrison Elementary,2,Dalewood Middle,2,Brainerd High,2,67,18,3.72500960456966,1.13996395266968,2.10585008754973,2.10585008754973,Level 4 (16-19),6.15157480314961
-85.228942,35.0040178,37411,Feb,4,225000,225000,242000,1237.37,FHA,1387,162.22,174.48,No,1945,0.23,3,2,No,N,Y,N,C-,B-,C-,D+,Spring Creek Elem,4,East Ridge Middle,3,East Ridge High,3,67,45,6.81552782241565,0.682942050537686,0.682942050537686,1.62151586833552,Level 4 (16-19),2.17479917283067
-85.2719209,35.0087862,37404,Jun,3,365000,365000,370000,2619.46,VA,1922,189.91,192.51,No,1967,0.85,4,3,No,N,N,N,C-,B-,C-,D+,Clifton Hills Elem,3,East Lake Academy,3,Howard Academics,2,67,42,5.02127182403201,0.635046372600229,0.635046372600229,0.815644176449537,Level 5 (20 and above),5.34379225324107
-85.3262805,35.1484706,37377,March,2,489900,489900,486625,2541.32,Conv,2100,233.29,231.73,No,1968,0.6,4,3,No,N,N,N,A+,A+,A,A-,Thrasher Elementary,8,Signal Mountain Mid,8,Signal Mtn,8,66,23,5.34401130577813,2.43585578056405,3.99661781874343,3.99661781874343,Level 1 (1-5),18.0819016941064
-85.2835659,35.0281864,37404,Feb,19,449000,424900,415000,4871.41,Conv,1938,219.25,214.14,No,1920,0.2,3,2,No,N,Y,N,C-,B-,C-,D+,Orchard Knob Elem,2,Orchard Knob Middle,4,Howard Academics,2,67,65,3.53438603645723,0.447865668258359,0.747051837654946,1.30357422353553,Level 5 (20 and above),5.77875208780721
